,,,,"cp","lat","lon"
,,,"Bourg-en-Bresse","01000","46.2048263","5.2255015"
,,,"Laon","02000","49.5647461","3.6242454"
,,,"Moulins","03000","46.5661042","3.3353369"
,,,"Digne-les-Bains","04000","44.0910065","6.2314784"
,,,"Gap","05000","44.5599012","6.0759012"
,,,"Nice","06100","43.7034064","7.2662018"
,,,"Privas","07000","44.7346232","4.5988805"
,,,"Charleville-Mézières","08000","49.7736086","4.7202099"
,,,"Foix","09000","42.9639801","1.6070809"
,,,"Troyes","10000","48.2974686","4.0748010"
,,,"Carcassonne","11000","43.2126053","2.3560999"
,,,"Rodez","12000","44.3509239","2.5735101"
,,,"Marseille","13000","43.2983438","5.3832209"
,,,"Caen","14000","49.1847689","-0.3601613"
,,,"Aurillac","15000","44.9277613","2.4436432"
,,,"Angoulême","16460","44.9298114","4.8898855"
,,,"Rochelle, LaLa Rochelle","17000","46.1581013","-1.1536397"
,,,"Bourges","18000","47.0828920","2.3965788"
,,,"Tulle","19000","45.2646735","1.7676143"
,,,"Ajaccio","20090","41.9186476","8.7368794"
,,,"Dijon","21000","47.3272130","5.0439875"
,,,"Saint-Brieuc","22000","48.5138348","-2.7626389"
,,,"Guéret","23000","45.1867980","0.7218353"
,,,"Périgueux","24000","47.2412254","6.0255656"
,,,"Besançon","25000","47.2412254","6.0255656"
,,,"Valence","26000","44.9298114","4.8898855"
,,,"Évreux","27000","49.0245289","1.1511090"
,,,"Chartres","28000","48.4440819","1.4835427"
,,,"Quimper","29000","47.9959494","-4.0997783"
,,,"Nîmes","30000","43.8345900","4.3608637"
,,,"Toulouse","31500","43.6043630","1.4429513"
,,,"Auch","32810","43.6476621","0.5851595"
,,,"Bordeaux","33300","44.8373682","-0.5761440"
,,,"Montpellier","34080","43.6085027","3.8792096"
,,,"Rennes","35000",48.5865249,-1.6572459
,,,"Châteauroux","36000",46.8372978,1.9560404
,,,"Tours","37100","47.3902942","0.6888514"
,,,"Grenoble","38000","45.1942765","5.7316335"
,,,,"38190","48.1943180","6.6981063"
,,,,"39200","48.1113220","5.1399084"
,,,"Mont-de-Marsan","40000","43.8909703","-0.4979027"
,,,,"41000","47.5859427","1.3300966"
,,,,"42000","45.4396371","4.3878310"
,,,,"43000","45.0436777","3.8852493"
,,,"Blois","44200",47.7188841,-1.378495
,,,"Saint-Étienne","45000",47.9013866,1.9039759
,,,"Le Puy-en-Velay","46000","44.4456290","1.4414659"
,,,"Nantes","47000",44.3789692,0.5253289
,,,"Orléans","48000","44.5180049","3.4985238"
,,,"Cahors","49000","47.4694299","-0.5490002"
,,,"Agen","50000","49.6386687","-1.6142407"
,,,"Mende","51000","49.3742476","4.1431784"
,,,"Angers","52000","48.1113220","5.1399084"
,,,"Saint-Lô","53000",48.2617986,-0.6552906
,,,"Châlons-en-Champagne","54100","48.6907887","6.1825044"
,,,"Chaumont","55000","48.7737192","5.1605745"
,,,"Laval","56000",48.1391231,-3.6086844
,,,"Nancy","57050","49.1161273","6.1726955"
,,,"Bar-le-Duc","58000","46.9871872","3.1618420"
,,,"Vannes","59800","50.6371834","3.0630174"
,,,"Metz","60155",49.2599405,2.4752386
,,,"Nevers","61230","48.1113220","5.1399084"
,,,"Lille","62000","50.2928765","2.7824985"
,,,"Beauvais","63000",47.8267803,1.6022028
,,,"Alençon","64000","43.2975210","-0.3743618"
,,,"Arras","65000","43.2328643","0.0741208"
,,,"Clermont-Ferrand","66100",42.4849398,2.6551197
,,,"Pau","67000","48.5829331","7.7437488"
,,,"Tarbes","68000",,
,,,"Perpignan","69000",,
,,,"Strasbourg","70000","47.6234719","6.1559043"
,,,"Colmar","70120","46.1581013","-1.1536397"
,,,"Lyon",,,
,,,"Vesoul","72100",,
,,,"Mâcon",,,
,,,"Le Mans","74000","45.8996243","6.1284548"
,,,"Chambéry","75000",,
,,,"Annecy","76100",,
,,,"Paris","77000",,
,,,"Rouen","78000","48.8023300","2.1298227"
,,,"Melun","79000","46.3238567","-0.4575836"
,,,"Versailles","80090","49.8939183","2.2942436"
,,,"Niort","81990","43.9274238","2.1482549"
,,,"Amiens","82000",,
,,,"Albi","82400",,
,,,"Montauban","83000",,
,,,"Toulon","83200","43.1251606","5.9311119"
,,,"Avignon","84000",,
,,,"La Roche-sur-Yon","85000",,
,,,"Poitiers","86000","46.5869855","0.3426479"
,,,"Limoges","87280","45.8285215","1.2617460"
,,,"Épinal",,,
,,,"Auxerre","89000",,
,,,"Belfort","89370","48.1113220","5.1399084"
,,,"Évry","90000","47.6388323","6.8622207"
,,,"Nanterre",,,
,,,"Bobigny","92000","48.8900063","2.1970221"
,,,"Créteil","93000","48.9064281","2.4404611"
,,,"Cergy",,,
,,,,"95000","49.0525005","2.0388296"
